device,loop,zone,description,subtype,type,name,locationId
45,36,335,IRD-IT4-L63-SGA-02 GAS CUPBOARD,x02,OPT,L36 - D45 - Z335 - IRD-IT4-L63-SGA-02 GAS CUPBOARD - OPT,IRD-IT4-L63-SGA-02
46,36,335,IRD-IT4-L63-SIC-01 COMMS CUPBOARD,x02,OPT,L36 - D46 - Z335 - IRD-IT4-L63-SIC-01 COMMS CUPBOARD - OPT,IRD-IT4-L63-SIC-01
47,36,335,IRD-IT4-L63-SME-03 MECH CUPBOARD,x02,OPT,L36 - D47 - Z335 - IRD-IT4-L63-SME-03 MECH CUPBOARD - OPT,IRD-IT4-L63-SME-03
48,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D48 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
49,36,336,IRD-IT4-L64-SFS-02 FIRE CUPBOARD,x02,OPT,L36 - D49 - Z336 - IRD-IT4-L64-SFS-02 FIRE CUPBOARD - OPT,IRD-IT4-L64-SFS-02
50,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D50 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
51,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D51 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
52,36,336,IRD-IT4-L64-SEL-01 ELEC CUPBOARD,x02,OPT,L36 - D52 - Z336 - IRD-IT4-L64-SEL-01 ELEC CUPBOARD - OPT,IRD-IT4-L64-SEL-01
53,36,336,IRD-IT4-L64-BTW-02 REFUSE ROOM,x02,OPT,L36 - D53 - Z336 - IRD-IT4-L64-BTW-02 REFUSE ROOM - OPT,IRD-IT4-L64-BTW-02
54,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D54 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
55,36,336,IRD-IT4-L64-SEL-03 ELEC CUPBOARD,x02,OPT,L36 - D55 - Z336 - IRD-IT4-L64-SEL-03 ELEC CUPBOARD - OPT,IRD-IT4-L64-SEL-03
56,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D56 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
57,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D57 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
58,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D58 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
59,36,336,IRD-IT4-L64-SGS-01 FUTURE,x02,OPT,L36 - D59 - Z336 - IRD-IT4-L64-SGS-01 FUTURE - OPT,IRD-IT4-L64-SGS-01
60,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D60 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
61,36,336,IRD-IT4-L64-SGA-02 GAS CUPBOARD,x02,OPT,L36 - D61 - Z336 - IRD-IT4-L64-SGA-02 GAS CUPBOARD - OPT,IRD-IT4-L64-SGA-02
62,36,336,IRD-IT4-L64-SIC-01 COMMS CUPBOARD,x02,OPT,L36 - D62 - Z336 - IRD-IT4-L64-SIC-01 COMMS CUPBOARD - OPT,IRD-IT4-L64-SIC-01
63,36,336,IRD-IT4-L64-SME-03 MECH CUPBOARD,x02,OPT,L36 - D63 - Z336 - IRD-IT4-L64-SME-03 MECH CUPBOARD - OPT,IRD-IT4-L64-SME-03
64,36,336,IRD-IT4-L64-CGL-01 CORRIDOR,x02,OPT,L36 - D64 - Z336 - IRD-IT4-L64-CGL-01 CORRIDOR - OPT,IRD-IT4-L64-CGL-01
110,36,3405,IT4 L63 SECURITY TRIP,a03,SEC,L36 - D110 - Z3405 - IT4 L63 SECURITY TRIP - SEC,
1,37,3048,SS-DCP-IT4-L37-01,a03,MECH,L37 - D1 - Z3048 - SS-DCP-IT4-L37-01 - MECH,
