zone,description,raw
1014,SPRINKLER TOWER 3 BASEMENT 2,Z 1 Z 1
1015,SPRINKLER TOWER 4 BASEMENT 2,Z 1 Z 1
1017,SPRINKLER TOWER 1 BASEMENT 1,Z 1 Z 1
1018,SPRINKLER TOWER 2 BASEMENT 1,Z 1 Z 1
1019,SPRINKLER TOWER 3 BASEMENT 1,Z 1 Z 1
1020,SPRINKLER TOWER 4 BASEMENT 1,Z 1 Z 1
1021,SPRINKLER TOWER 1 LEVEL 00 WW,Z 1 Z 1
1022,SPRINKLER TOWER 1 LEVEL 00,Z 1 Z 1
1023,TANK TOWER 4 LEVEL 01,Z 1 Z 1
1024,PUMP ROOM TOWER 4 LEVEL 00,Z 1 Z 1
1025,PUMP ROOM TOWER 4 LEVEL 00,Z 1 Z 1
1026,PUMP ROOM TOWER 4 LEVEL 00,Z 1 Z 1
1027,SPRINKLER TOWER 2 LEVEL 00,Z 1 Z 1
1028,SPRINKLER TOWER 3 LEVEL 00,Z 1 Z 1
1030,SPRINKLER TOWER 4 LEVEL 00,Z 1 Z 1
1032,SPRINKLER LOADING DOCK LEVEL 00,Z 1 Z 1
1034,SPRINKLER TOWER 1 LEVEL 01,Z 1 Z 1
1037,SPRINKLER TOWER 2 LEVEL 01,Z 1 Z 1
1038,SPRINKLER TOWER 3 LEVEL 01,Z 1 Z 1
1040,SPRINKLER TOWER 4 LEVEL 01,Z 1 Z 1
1043,SPRINKLER TOWER 1 LEVEL 02,Z 1 Z 1
1044,SPRINKLER TOWER 2 LEVEL 02,Z 1 Z 1
1045,SPRINKLER TOWER 3 LEVEL 02,Z 1 Z 1
1048,SPRINKLER TOWER 4 LEVEL 02,Z 1 Z 1
1050,SPRINKLER TOWER 1 LEVEL 03,Z 1 Z 1
1051,SPRINKLER TOWER 1-4 L03 RETAIL,Z 1 Z 1
1052,SPRINKLER TOWER 3 LEVEL 03,Z 1 Z 1
1053,SPRINKLER TOWER 4 LEVEL 03,Z 1 Z 1
1055,SPRINKLER TOWER 1 LEVEL 04,Z 1 Z 1
1057,SPRINKLER TOWER 2 LEVEL 04,Z 1 Z 1
1058,SPRINKLER TOWER 3 LEVEL 04,Z 1 Z 1
1060,SPRINKLER TOWER 4 LEVEL 04,Z 1 Z 1
1064,SPRINKLER TOWER 1 LEVEL 04M,Z 1 Z 1
1065,SPRINKLER TOWER 2 LEVEL 04M,Z 1 Z 1
1066,SPRINKLER TOWER 3 LEVEL 04M,Z 1 Z 1
1067,SPRINKLER TOWER 4 LEVEL 04M,Z 1 Z 1
1070,SPRINKLER TOWER 1 LEVEL 05,Z 1 Z 1
1075,SPRINKLER TOWER 2 LEVEL 05,Z 1 Z 1
1079,SPRINKLER TOWER 3 LEVEL 05,Z 1 Z 1
1083,SPRINKLER TOWER 4 LEVEL 05,Z 1 Z 1
1085,SPRINKLER TOWER 1 LEVEL 05M,Z 1 Z 1
1086,SPRINKLER TOWER 2 LEVEL 05M,Z 1 Z 1
1090,SPRINKLER TOWER 3 LEVEL 05M,Z 1 Z 1
1093,SPRINKLER TOWER 4 LEVEL 05M,Z 1 Z 1
1096,SPRINKLER TOWER 1 LEVEL 06,Z 1 Z 1
1101,SPRINKLER TOWER 2 LEVEL 06,Z 1 Z 1
1105,SPRINKLER TOWER 3 LEVEL 06,Z 1 Z 1
1109,SPRINKLER TOWER 4 LEVEL 06,Z 1 Z 1
1112,SPRINKLER TOWER 1 LEVEL 06M,Z 1 Z 1
1114,SPRINKLER TOWER 4 LEVEL 06M,Z 1 Z 1
1116,SPRINKLER TOWER 1 LEVEL 07,Z 1 Z 1
1118,SPRINKLER TOWER 2 LEVEL 07,Z 1 Z 1
1119,SPRINKLER TOWER 3 LEVEL 07,Z 1 Z 1
1120,SPRINKLER TOWER 4 LEVEL 07,Z 1 Z 1
1121,SPRINKLER TOWER 1-4 ATRIUM L07,Z 1 Z 1
1122,SPRINKLER TOWER 1 LEVEL 07M,Z 1 Z 1
1124,SPRINKLER TOWER 2 LEVEL 07M,Z 1 Z 1
1125,SPRINKLER TOWER 3 LEVEL 07M,Z 1 Z 1
1126,SPRINKLER TOWER 4 LEVEL 07M,Z 1 Z 1
